"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,product_count_product_cat,display_type,thumbnail_id,order,_astra_sites_imported_term,"Image URL","Images Filename","Images Path","Images ID","Images Title","Images Caption","Images Description","Images Alt Text"
364,Pantaloni,bambino-abbigliamento-bimba-pantalone,"<!-- slug:/bambino/abbigliamento-bimba/pantalone/ -->",,,,,,,,,,,,,,,,,
365,Completo,bambino-abbigliamento-bimba-completo,"<!-- slug:/bambino/abbigliamento-bimba/completo/ -->",,,,78,78,,115940,,,https://grandeshop.it/wp-content/uploads/2023/12/031220231701584361.jpeg,031220231701584361.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/12/031220231701584361.jpeg,115940,031220231701584361.jpeg,,,
366,"Magliette e t-shirt",bambino-abbigliamento-bimba-t-shirt,"<!-- slug:/bambino/abbigliamento-bimba/t-shirt/ -->",,,,,,,,,,,,,,,,,
367,"Scarpe Bambina",bambino-scarpe-bimba,"<!-- slug:/bambino/scarpe-bimba/ -->",260,Bambini,bambini,,,,,,,,,,,,,,
368,"Abitini e pagliaccetti",bambino-abbigliamento-neonato-abito,"<!-- slug:/bambino/abbigliamento-neonato/abito/ -->",,,,,,,,,,,,,,,,,
369,"Giacche e giubbotti",bambino-abbigliamento-neonato-giubbotto,"<!-- slug:/bambino/abbigliamento-neonato/giubbotto/ -->",,,,,,,,,,,,,,,,,
370,Maglieria,bambino-abbigliamento-neonato-maglia,"<!-- slug:/bambino/abbigliamento-neonato/maglia/ -->",,,,,,,,,,,,,,,,,
371,"T-shirt e polo",bambino-abbigliamento-neonato-t-shirt,"<!-- slug:/bambino/abbigliamento-neonato/t-shirt/ -->",,,,,,,,,,,,,,,,,
372,Jeans,bambino-abbigliamento-neonato-jeans,"<!-- slug:/bambino/abbigliamento-neonato/jeans/ -->",,,,,,,,,,,,,,,,,
373,Cappotto,bambino-abbigliamento-neonato-cappotto,"<!-- slug:/bambino/abbigliamento-neonato/cappotto/ -->",,,,,,,,,,,,,,,,,
374,Completini,bambino-abbigliamento-neonato-completo,"<!-- slug:/bambino/abbigliamento-neonato/completo/ -->",,,,,,,,,,,,,,,,,
375,Tuta,bambino-abbigliamento-neonato-tuta,"<!-- slug:/bambino/abbigliamento-neonato/tuta/ -->",,,,159,159,,63027,,,https://grandeshop.it/wp-content/uploads/2023/11/251120231700954754.jpeg,251120231700954754.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/11/251120231700954754.jpeg,63027,251120231700954754.jpeg,,,
376,"Scarpe Neonato",bambino-scarpe-neonato,"<!-- slug:/bambino/scarpe-neonato/ -->",260,Bambini,bambini,,,,,,,,,,,,,,
377,"Tutti gli accessori",bambino-accessori,"<!-- slug:/bambino/accessori/ -->",,,,,166,,63145,,,https://grandeshop.it/wp-content/uploads/2023/11/251120231700954826.jpeg,251120231700954826.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/11/251120231700954826.jpeg,63145,251120231700954826.jpeg,,,
378,"Cappelli bambino",bambino-accessori-cappello-bimbo,"<!-- slug:/bambino/accessori/cappello-bimbo/ -->",377,"Tutti gli accessori",bambino-accessori,,,,,,,,,,,,,,
379,"Cappello bimba",bambino-accessori-cappello-bimba,"<!-- slug:/bambino/accessori/cappello-bimba/ -->",377,"Tutti gli accessori",bambino-accessori,61,61,,43916,,,https://grandeshop.it/wp-content/uploads/2023/11/251120231700923539.jpeg,251120231700923539.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/11/251120231700923539.jpeg,43916,251120231700923539.jpeg,,,
380,"Cappelli neonato",bambino-accessori-cappello-bebe,"<!-- slug:/bambino/accessori/cappello-bebe/ -->",377,"Tutti gli accessori",bambino-accessori,,,,,,,,,,,,,,
381,"Sciarpa bimbo",bambino-accessori-sciarpa-bimbo,"<!-- slug:/bambino/accessori/sciarpa-bimbo/ -->",377,"Tutti gli accessori",bambino-accessori,46,46,,,,,,,,,,,,
382,"Sciarpe bimba",bambino-accessori-sciarpa-bimba,"<!-- slug:/bambino/accessori/sciarpa-bimba/ -->",377,"Tutti gli accessori",bambino-accessori,,,,,,,,,,,,,,
383,"Foulard bambina",bambino-accessori-foulard-bimba,"<!-- slug:/bambino/accessori/foulard-bimba/ -->",377,"Tutti gli accessori",bambino-accessori,,,,,,,,,,,,,,
384,Guanti,bambino-accessori-guanti,"<!-- slug:/bambino/accessori/guanti/ -->",377,"Tutti gli accessori",bambino-accessori,,,,,,,,,,,,,,
385,"Calze bimba",bambino-accessori-calze-bimba,"<!-- slug:/bambino/accessori/calze-bimba/ -->",377,"Tutti gli accessori",bambino-accessori,23,23,,63145,,,https://grandeshop.it/wp-content/uploads/2023/11/251120231700954826.jpeg,251120231700954826.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/11/251120231700954826.jpeg,63145,251120231700954826.jpeg,,,
386,"Calze bimbo",bambino-accessori-calze-bimbo,"<!-- slug:/bambino/accessori/calze-bimbo/ -->",377,"Tutti gli accessori",bambino-accessori,,,,,,,,,,,,,,
387,"Calze bebè",bambino-accessori-calze-bebe,"<!-- slug:/bambino/accessori/calze-bebe/ -->",377,"Tutti gli accessori",bambino-accessori,12,12,,63239,,,https://grandeshop.it/wp-content/uploads/2023/11/251120231700954884.jpeg,251120231700954884.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/11/251120231700954884.jpeg,63239,251120231700954884.jpeg,,,
388,"Cinture bambini",bambino-accessori-cintura,"<!-- slug:/bambino/accessori/cintura/ -->",377,"Tutti gli accessori",bambino-accessori,,,,,,,,,,,,,,
389,"Papillon bambino",bambino-accessori-papillon,"<!-- slug:/bambino/accessori/papillon/ -->",377,"Tutti gli accessori",bambino-accessori,,,,,,,,,,,,,,
390,"Copertine culla",bambino-accessori-coperta,"<!-- slug:/bambino/accessori/coperta/ -->",377,"Tutti gli accessori",bambino-accessori,,,,,,,,,,,,,,
391,Bavaglini,bambino-accessori-bavaglini-bebe,"<!-- slug:/bambino/accessori/bavaglini-bebe/ -->",377,"Tutti gli accessori",bambino-accessori,24,24,,,,,,,,,,,,
392,"Borsa Mini",bambino-borse-borsa-mini,"<!-- slug:/bambino/borse/borsa-mini/ -->",277,"Tutte le borse",donna-borse,139,139,,71046,,,https://grandeshop.it/wp-content/uploads/2023/11/261120231701011716.jpeg,261120231701011716.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/11/261120231701011716.jpeg,71046,261120231701011716.jpeg,,,
393,"Borse e zainetti",bambino-borse-borsa,"<!-- slug:/bambino/borse/borsa/ -->",,,,,,,,,,,,,,,,,
